date,price,y
2020-12-28,192.61,0.006291106
2020-12-29,192.95,0.000765952
2020-12-30,192.7,-0.000563068
2021-01-04,189.68,-0.006860174
2021-01-05,188.73,-0.002180601
2021-01-06,187.13,-0.003697522
2021-01-07,189.79,0.006129908
2021-01-08,195.35,0.01254009
2021-01-11,191.46,-0.008735361
2021-01-12,194.17,0.006104076
2021-01-13,192.84,-0.002985008
2021-01-14,196.2,0.00750188
2021-01-15,192.48,-0.008313393
2021-01-18,192.97,0.001104187
2021-01-19,191.63,-0.003026297
2021-01-20,189.8,-0.004167292
2021-01-21,187.09,-0.006245633
2021-01-22,184.94,-0.005019722
2021-01-26,183.35,-0.003749939
2021-01-27,184.66,0.003091917
2021-01-28,189.65,0.011580016
2021-01-29,184.56,-0.011815266
2021-02-01,187.26,0.006307438
2021-02-02,189.55,0.00527877
2021-02-03,191.84,0.005215377
2021-02-04,190.85,-0.002247001
2021-02-05,191.15,0.000682138
2021-02-08,190.32,-0.001889873
2021-02-09,189.78,-0.001233987
2021-02-10,187.14,-0.006083817
2021-02-11,189.07,0.004455999
2021-02-12,188.27,-0.001841502
2021-02-17,188.6,0.000760566
2021-02-18,185.81,-0.006472605
2021-02-19,185.84,7.01135E-05
2021-02-22,180.63,-0.012349315
2021-02-23,182.67,0.004877347
2021-02-24,183.35,0.001613686
2021-02-25,177.63,-0.013764598
2021-02-26,174.04,-0.008867241
2021-03-01,172.42,-0.004061434
2021-03-02,173.69,0.003187174
2021-03-03,173.92,0.000574712
2021-03-04,177.17,0.008040658
2021-03-05,180.91,0.009072388
2021-03-08,172.68,-0.020220534
2021-03-09,172.54,-0.000352246
2021-03-10,177.03,0.011157076
2021-03-11,180.68,0.008863213
2021-03-12,180.98,0.000720502
2021-03-15,182.62,0.003917755
2021-03-16,180.63,-0.004758457
2021-03-17,185.71,0.012045408
2021-03-18,182.99,-0.006407933
2021-03-19,186.67,0.00864717
2021-03-22,185.17,-0.003503901
2021-03-23,183.05,-0.005000893
2021-03-24,179.71,-0.007997489
2021-03-25,182.62,0.006976094
2021-03-26,182.51,-0.000261673
2021-03-29,182.25,-0.000619128
2021-03-30,186.71,0.010500042
2021-03-31,185.59,-0.002613007
2021-04-01,183,-0.006103482
2021-04-05,185.75,0.006477733
2021-04-06,186.42,0.001563681
2021-04-07,185.9,-0.001213114
2021-04-08,187.83,0.004485569
2021-04-09,187.19,-0.001482314
2021-04-12,188.75,0.003604316
2021-04-13,189.33,0.001332475
2021-04-14,189.4,0.00016054
2021-04-15,190.75,0.003084572
2021-04-16,192.51,0.003988747
2021-04-19,191.4,-0.002511361
2021-04-20,190.37,-0.002343424
2021-04-22,188.97,-0.003205647
2021-04-23,190.44,0.00336531
2021-04-26,191.57,0.002569326
2021-04-27,189.26,-0.005268663
2021-04-28,190.98,0.003929053
2021-04-29,189.77,-0.002760331
2021-04-30,188.44,-0.003054462
2021-05-03,188.89,0.001035871
2021-05-04,186.67,-0.005134439
2021-05-05,189.06,0.005525126
2021-05-06,188.12,-0.002164683
2021-05-07,191.77,0.008345698
2021-05-10,191.24,-0.001201933
2021-05-11,191.64,0.000907427
2021-05-12,186.34,-0.012180071
2021-05-13,188.92,0.005971846
2021-05-14,191.04,0.004846373
2021-05-17,192.96,0.004342981
2021-05-18,192.96,0
2021-05-19,193,9.00185E-05
2021-05-20,193.85,0.001908496
2021-05-21,192.95,-0.002021022
2021-05-24,194.59,0.003675735
2021-05-25,195.47,0.001959595
2021-05-26,196.73,0.002790479
2021-05-27,198.78,0.004502094
2021-05-28,199.39,0.001330687
2021-05-31,199.72,0.000718184
2021-06-01,203.97,0.009144739
2021-06-02,205.58,0.003414566
2021-06-04,207.18,0.003366967
2021-06-07,209.02,0.003840015
2021-06-08,208.03,-0.002061874
2021-06-09,207.37,-0.001380041
2021-06-10,209.03,0.003462693
2021-06-11,206.45,-0.005393733
2021-06-14,209.28,0.005912839
2021-06-15,208.95,-0.000685351
2021-06-16,207.86,-0.002271453
2021-06-17,206.25,-0.003376966
2021-06-18,206.23,-4.21154E-05
2021-06-21,207.83,0.003356396
2021-06-22,205.97,-0.003904269
2021-06-23,204.81,-0.002452811
2021-06-24,206.43,0.003421655
2021-06-25,202.1,-0.009206499
2021-06-28,202.85,0.001608699
2021-06-29,201.56,-0.002770662
2021-06-30,200.28,-0.002766767
2021-07-01,198.39,-0.004117805
2021-07-02,201.26,0.006237691
2021-07-05,200.8,-0.00099376
2021-07-06,197.49,-0.007218599
2021-07-07,200.31,0.006157521
2021-07-08,197.4,-0.006355483
2021-07-12,201.21,0.008302413
2021-07-13,201.97,0.001637304
2021-07-14,202.72,0.001609732
2021-07-15,200.77,-0.004197779
2021-07-16,199.08,-0.003671187
2021-07-19,196.25,-0.006217967
2021-07-20,197.71,0.003218971
2021-07-21,197.49,-0.000483526
2021-07-22,198.03,0.001185878
2021-07-23,196.01,-0.004452759
2021-07-26,195.86,-0.000332479
2021-07-27,193.55,-0.005152575
2021-07-28,195.34,0.003998008
2021-07-29,194.36,-0.002184293
2021-07-30,189.8,-0.010310682
2021-08-02,191.77,0.00448446
2021-08-03,191.41,-0.000816045
2021-08-04,188.89,-0.005755657
2021-08-05,187.02,-0.004320914
2021-08-06,188.51,0.003446341
2021-08-09,189.36,0.001953851
2021-08-10,187.38,-0.00456501
2021-08-11,187.24,-0.000324602
2021-08-12,185,-0.005226904
2021-08-13,185.19,0.000445803
2021-08-16,181.02,-0.009890971
2021-08-17,178.6,-0.005845106
2021-08-18,178.53,-0.00017025
2021-08-19,181.4,0.006926078
2021-08-20,183.78,0.005660964
2021-08-23,182.99,-0.00187089
2021-08-24,188.13,0.012030698
2021-08-25,189.74,0.003700841
2021-08-26,186.34,-0.007852805
2021-08-27,188.45,0.004890051
2021-08-30,187.14,-0.003029517
2021-08-31,186.27,-0.002023711
2021-09-01,186.94,0.001559324
2021-09-02,182.14,-0.011296906
2021-09-03,181.91,-0.000548758
2021-09-06,184.09,0.005173624
2021-09-08,177.18,-0.0166155
2021-09-09,180.88,0.008975852
2021-09-10,179.42,-0.003519697
2021-09-13,182.98,0.008532771
2021-09-14,182.74,-0.000570003
2021-09-15,180.59,-0.005139923
2021-09-16,179.7,-0.002145621
2021-09-17,177,-0.006574811
2021-09-20,172.82,-0.010379266
2021-09-21,175.16,0.005840936
2021-09-22,178.12,0.00727775
2021-09-23,180.42,0.005571992
2021-09-24,179.45,-0.002341216
2021-09-27,179.1,-0.000847877
2021-09-28,173.69,-0.013320771
2021-09-29,175.01,0.00328805
2021-09-30,174.3,-0.001765478
2021-10-01,177.64,0.008243377
2021-10-04,172.64,-0.012399337
2021-10-05,172.1,-0.001360557
2021-10-06,171.94,-0.000403948
2021-10-07,171.35,-0.001492814
2021-10-08,175.97,0.011554525
2021-10-11,174.87,-0.002723324
2021-10-13,178.38,0.00863085
2021-10-14,177.41,-0.002368064
2021-10-15,180.18,0.006728487
2021-10-18,180.98,0.001924001
2021-10-19,174.46,-0.015934716
2021-10-20,174.93,0.001168428
2021-10-21,168.84,-0.015388953
2021-10-22,166.19,-0.006870456
2021-10-25,169.2,0.007795471
2021-10-26,164.53,-0.012155261
2021-10-27,165.08,0.001449362
2021-10-28,162.62,-0.006520503
2021-10-29,160.65,-0.005293227
2021-11-01,164.46,0.010179556
2021-11-03,169.03,0.011903506
2021-11-04,165.62,-0.008851011
2021-11-05,169.14,0.009133546
2021-11-08,168.07,-0.002756126
2021-11-09,170.36,0.005877431
2021-11-10,171.11,0.00190776
2021-11-11,173.45,0.005898913
2021-11-12,170.69,-0.006966226
2021-11-16,166.39,-0.011080857
2021-11-17,163.96,-0.006389312
2021-11-18,164.37,0.001084646
2021-11-19,165.89,0.003997652
2021-11-22,162.48,-0.009020297
2021-11-23,163.17,0.001840403
2021-11-24,164.07,0.002388865
2021-11-25,166.58,0.00659368
